"AIRPORT_ID","AIRPORT","DISPLAY_AIRPORT_NAME","DISPLAY_AIRPORT_CITY_NAME_FULL","AIRPORT_COUNTRY_NAME","AIRPORT_STATE_NAME","CITY_MARKET_ID","LAT_DEGREES","LAT_HEMISPHERE","LAT_MINUTES","LAT_SECONDS","LATITUDE","LON_DEGREES","LON_HEMISPHERE","LON_MINUTES","LON_SECONDS","LONGITUDE","UTC_LOCAL_TIME_VARIATION","AIRPORT_START_DATE","AIRPORT_THRU_DATE","AIRPORT_IS_CLOSED","AIRPORT_IS_LATEST",
10233,"AJN","Ouani","Anjouan, Comoros","Comoros","",30233,12,"S",7,52,-12.13111111,44,"E",25,50,44.43055556,"+0300",2017-12-01,,0,1,
10234,"AJR","Arvidsjaur Airport","Arvidsjaur, Sweden","Sweden","",30234,65,"N",35,10,65.58611111,19,"E",16,57,19.28250000,"+0100",1994-12-01,2011-06-30,0,0,
10234,"AJR","Arvidsjaur Airport","Arvidsjaur, Sweden","Sweden","",30234,65,"N",35,25,65.59027778,19,"E",16,55,19.28194444,"+0100",2011-07-01,2019-06-30,0,0,
10234,"AJR","Arvidsjaur Airport","Arvidsjaur, Sweden","Sweden","",30234,65,"N",35,30,65.59166667,19,"E",16,39,19.27750000,"+0100",2019-07-01,,0,1,
10235,"AJU","Santa Maria","Aracaju, Brazil","Brazil","",30235,10,"S",59,2,-10.98388889,37,"W",4,13,-37.07027778,"-0300",1950-01-01,2019-03-31,0,0,
10235,"AJU","Santa Maria International","Aracaju, Brazil","Brazil","",30235,10,"S",59,2,-10.98388889,37,"W",4,13,-37.07027778,"-0300",2019-04-01,,0,1,
10236,"AJY","Manu Dayak","Agades, Niger","Niger","",30236,16,"N",57,51,16.96416667,7,"E",59,35,7.99305556,"+0100",1975-03-01,2011-06-30,0,0,
10236,"AJY","Manu Dayak","Agades, Niger","Niger","",30236,16,"N",57,58,16.96611111,8,"E",0,1,8.00027778,"+0100",2011-07-01,2013-02-28,0,0,
10236,"AJY","Manu Dayak","Agades, Niger","Niger","",30236,16,"N",57,58,16.96611111,8,"E",0,0,8.00000000,"+0100",2013-03-01,2015-03-31,0,0,
10236,"AJY","Mano Dayak","Agades, Niger","Niger","",30236,16,"N",57,58,16.96611111,8,"E",0,0,8.00000000,"+0100",2015-04-01,2017-10-31,0,0,
10236,"AJY","Manu Dayak","Agades, Niger","Niger","",30236,16,"N",57,58,16.96611111,8,"E",0,1,8.00027778,"+0100",2017-11-01,2017-11-30,0,0,
10236,"AJY","Mano Dayak","Agades, Niger","Niger","",30236,16,"N",57,58,16.96611111,8,"E",0,0,8.00000000,"+0100",2017-12-01,2019-08-31,0,0,
10236,"AJY","Mano Dayak","Agades, Niger","Niger","",30236,16,"N",57,39,16.96083333,8,"E",0,33,8.00916667,"+0100",2019-09-01,,0,1,
10237,"AKB","Atka Airport","Atka, AK","United States","Alaska",30237,52,"N",13,13,52.22027778,174,"W",12,25,-174.20694444,"-1000",1984-06-01,2011-06-30,0,0,
10237,"AKB","Atka Airport","Atka, AK","United States","Alaska",30237,52,"N",13,14,52.22055556,174,"W",12,22,-174.20611111,"-1000",2011-07-01,,0,1,
10238,"AKC","Akron Fulton International","Akron, OH","United States","Ohio",30647,41,"N",2,15,41.03750000,81,"W",28,1,-81.46694444,"-0500",2009-10-01,,0,1,
10239,"AKF","Kufra","Kufrah, Libya","Libya","",30239,24,"N",12,0,24.20000000,23,"E",20,0,23.33333333,"+0200",1951-12-01,2011-06-30,0,0,
10239,"AKF","Kufra","Kufrah, Libya","Libya","",30239,24,"N",10,44,24.17888889,23,"E",18,50,23.31388889,"+0200",2011-07-01,2011-10-31,0,0,
10239,"AKF","Kufra","Kufrah, Libya","Libya","",30239,24,"N",10,44,24.17888889,23,"E",18,50,23.31388889,"+0200",2011-11-01,,0,1,
10241,"AKI","Akiak Airport","Akiak, AK","United States","Alaska",30241,60,"N",54,20,60.90555556,161,"W",13,24,-161.22333333,"-0900",1950-01-01,2011-06-30,0,0,
10241,"AKI","Akiak Airport","Akiak, AK","United States","Alaska",30241,60,"N",54,10,60.90277778,161,"W",13,50,-161.23055556,"-0900",2011-07-01,,0,1,
10242,"AKJ","Asahikawa Airport","Asahikawa, Japan","Japan","",30242,43,"N",40,15,43.67083333,142,"E",27,6,142.45166667,"+0900",1950-01-01,1983-02-28,0,0,
10242,"AKJ","Asahikawa Airport","Asahikawa, Japan","Japan","",30242,43,"N",40,15,43.67083333,142,"E",27,5,142.45138889,"+0900",1983-03-01,2011-06-30,0,0,
10242,"AKJ","Asahikawa Airport","Asahikawa, Japan","Japan","",30242,43,"N",40,15,43.67083333,142,"E",26,51,142.44750000,"+0900",2011-07-01,,0,1,
10243,"AKK","Akhiok Airport","Akhiok, AK","United States","Alaska",30243,56,"N",56,42,56.94500000,154,"W",10,0,-154.16666667,"-0900",1950-01-01,2011-06-30,0,0,
10243,"AKK","Akhiok Airport","Akhiok, AK","United States","Alaska",30243,56,"N",56,19,56.93861111,154,"W",10,57,-154.18250000,"-0900",2011-07-01,,0,1,
10244,"AKL","Auckland International","Auckland, New Zealand","New Zealand","",30244,37,"S",0,40,-37.01111111,174,"E",47,57,174.79916667,"+1200",1950-01-01,2011-06-30,0,0,
10244,"AKL","Auckland International","Auckland, New Zealand","New Zealand","",30244,37,"S",0,29,-37.00805556,174,"E",47,30,174.79166667,"+1200",2011-07-01,2019-06-30,0,0,
10244,"AKL","Auckland International","Auckland, New Zealand","New Zealand","",30244,37,"S",0,43,-37.01194444,174,"E",47,11,174.78638889,"+1200",2019-07-01,,0,1,
10245,"AKN","King Salmon Airport","King Salmon, AK","United States","Alaska",30245,58,"N",40,40,58.67777778,156,"W",39,6,-156.65166667,"-0900",1950-01-01,2011-06-30,0,0,
10245,"AKN","King Salmon Airport","King Salmon, AK","United States","Alaska",30245,58,"N",40,35,58.67638889,156,"W",38,55,-156.64861111,"-0900",2011-07-01,,0,1,
10246,"AKO","Akron Washington County","Akron, CO","United States","Colorado",30246,40,"N",10,32,40.17555556,103,"W",13,20,-103.22222222,"-0700",1989-12-01,2011-06-30,0,0,
10246,"AKO","Colorado Plains Regional","Akron, CO","United States","Colorado",30246,40,"N",10,32,40.17555556,103,"W",13,19,-103.22194444,"-0700",2011-07-01,,0,1,
